unit_id	year	sem	code	title	level	dept_own	dept_teach	location	mode	survey_method	enrolled	class_size_log10	size_bin	sem_ord	isclayton	ispostgrad	responses	setu_overall	ChiefExaminer
418	2010	Semester 2	BTF2223	Corporate crime	2	Business Law & Taxation	Business Law & Taxation	Caulfield	On Campus	Paper	69	1.839	3	Semester 2	0	0	15	2	103
660	2010	Summer 2010/2011	AFX5860	International study program in banking and finance	5	Accounting & Finance	Banking & Finance	Caulfield	On Campus	Web	4	1.38	1	Summer	0	1	2	2.5	397
102	2010	Semester 1	BTW1200	Business law	1	Business Law & Taxation	Business Law & Taxation	Peninsula	On Campus	Paper	91	1.959	3	Semester 1	0	0	32	2.36	28
434	2010	Semester 2	BTX5040	Legal aspects of corporate social responsibility	5	Business Law & Taxation	Business Law & Taxation	Caulfield	On Campus	Paper	21	1.322	1	Semester 2	0	1	16	2.83	460
176	2010	Semester 1	ETC3510	Modelling in finance and insurance	3	Econometrics & Business Statistics	Sch of Mathematics	Clayton	On Campus	Web	15	1.322	1	Semester 1	1	0	2	2.5	183
499	2010	Semester 2	ETC3500	Survey data analysis	3	Econometrics & Business Statistics	Econometrics & Business Statistics	Clayton	On Campus	Paper	21	1.519	1	Semester 2	1	0	9	2.6	429
442	2010	Semester 2	BTX5541	Advanced corporations law	5	Business Law & Taxation	Business Law & Taxation	Caulfield	On Campus	Paper	7	0.845	1	Semester 2	0	1	7	3	484
560	2010	Semester 2	MGW3401	Strategic management	3	Department of Management	Department of Management	Berwick	On Campus	Paper	113	2.053	3	Semester 2	0	0	37	2.67	563
180	2010	Semester 1	ETF3200	Applied econometrics	3	Econometrics & Business Statistics	Econometrics & Business Statistics	Caulfield	On Campus	Paper	80	1.996	3	Semester 1	0	0	30	2.67	445
98	2010	Semester 1	BTF3091	Stock exchange and derivatives law	3	Business Law & Taxation	Business Law & Taxation	Caulfield	On Campus	Paper	16	1.204	1	Semester 1	0	0	16	2.83	453
314	2010	Semester 1	MKX4080	Advanced business research methods	4	Department of Marketing	Department of Marketing	Caulfield	On Campus	Paper	12	1.531	1	Semester 1	0	1	6	3	220
546	2010	Semester 2	MGF3881	Current issues in human resource management	3	Department of Management	Department of Management	Caulfield	On Campus	Paper	46	1.663	2	Semester 2	0	0	24	2.93	602
